effect	dir	symbol
nano.ABCA7_KI	up	PER1
nano.ABCA7_KI	up	AMOT
nano.ABCA7_KI	up	CCDC117
nano.ABCA7_KI	up	NRXN3
nano.ABCA7_KI	up	CNTN4
nano.ABCA7_KI	up	ITGA6
nano.ABCA7_KI	up	ADIPOR2
nano.ABCA7_KI	up	ARHGAP5
nano.ABCA7_KI	up	ERI2
nano.ABCA7_KI	up	LRP10
nano.ABCA7_KI	up	SRGN
nano.ABCA7_KI	up	TREM2
nano.ABCA7_KI	up	TMEM47
nano.ABCA7_KI	up	BCL6
nano.ABCA7_KI	up	RCC1
nano.ABCA7_KI	up	MYO1E
nano.ABCA7_KI	up	CTNNA1
nano.ABCA7_KI	up	PPP1R2
nano.ABCA7_KI	up	ZFP36
nano.ABCA7_KI	up	RHOU
nano.ABCA7_KI	up	CEACAM1
nano.ABCA7_KI	up	BAG3
nano.ABCA7_KI	up	BMPR1B
nano.ABCA7_KI	up	CDC42EP4
nano.ABCA7_KI	up	PLOD3
nano.ABCA7_KI	up	GABRB3
nano.ABCA7_KI	up	LGR5
nano.ABCA7_KI	up	PAK3
nano.ABCA7_KI	up	BCAR3
nano.ABCA7_KI	up	SOX8
nano.ABCA7_KI	up	CASC4
nano.ABCA7_KI	up	CUEDC1
nano.ABCA7_KI	up	MCL1
nano.ABCA7_KI	up	CSRNP3
nano.ABCA7_KI	up	NUFIP2
nano.ABCA7_KI	up	PPP4R2
nano.ABCA7_KI	up	ANLN
nano.ABCA7_KI	up	HSPA1B
nano.ABCA7_KI	up	AFF1
nano.ABCA7_KI	up	PDLIM5
nano.ABCA7_KI	up	SLC2A1
nano.ABCA7_KI	up	BAG2
nano.ABCA7_KI	up	PRKD3
nano.ABCA7_KI	up	COL9A3
nano.ABCA7_KI	up	SNX22
nano.ABCA7_KI	up	ATG14
nano.ABCA7_KI	up	DHRS11
nano.ABCA7_KI	up	REEP3
nano.ABCA7_KI	up	SPTLC2
nano.ABCA7_KI	up	ELOVL1
nano.ABCA7_KI	up	EZR
nano.ABCA7_KI	up	PRKCQ
nano.ABCA7_KI	up	USP54
nano.ABCA7_KI	up	ZNF768
nano.ABCA7_KI	up	HECA
nano.ABCA7_KI	up	NPTX2
nano.ABCA7_KI	up	SKP1
nano.ABCA7_KI	up	TMEM168
nano.ABCA7_KI	up	SLC12A5
nano.ABCA7_KI	up	MYO10
nano.ABCA7_KI	up	PPP3CB
nano.ABCA7_KI	up	OTUD4
nano.ABCA7_KI	up	CNTN2
nano.ABCA7_KI	up	PLEKHA7
nano.ABCA7_KI	up	CAMK4
nano.ABCA7_KI	up	HSPH1
nano.ABCA7_KI	up	CLDN11
